id,mood
1LGqJ3nvxpVXDWpEzq4DJD,Sad
0qB213IfGN0JXXm9aRjldF,Sad
6yhLR2sVn1IfsScVrR4ocr,Sad
5NGtFXVpXSvwunEIGeviY3,Calm
6kf7ZCJjEbjZXikivKOsvJ,Calm
648TTtYB0bH0P8Hfy0FmkL,Sad
3wAIcORchxdSkWv6v5AkaU,Sad
6crfO56bDm0RjpctUuGs5X,Sad
1uRKT2LRANv4baowBWHfDS,Happy
7f6AAixCrVar1ZY7RPHDfM,Sad
1xlyVmdCo5lMRIzuMlAUF7,Sad
4leHHwUSR0Vm5rjYvHhBEU,Sad
0Hsc0sIaxOxXBZbT3ms2oj,Sad
3aEJMh1cXKEjgh52claxQp,Sad
1pZn8AX1WulW8IO338hE5D,Sad
0F845nujLVqCb0XMZCh5Pc,Sad
2WaYW84yWij5NSCpgSeU2R,Sad
4l9hml2UCnxoNI3yCdL1BW,Sad
4fHDlIntTsRGSyTg5UYZYC,Sad
47gmoUrZV3w20JAnQOZMcO,Happy
06UkYE0SZ3Y8zGRFOuWGAe,Sad
4gFlHAye7To29Fs4UszQUH,Sad
78ntGe4xyecZHg9exQWwK6,Calm
3YCbx1QqGrnxMsPEZLC1CT,Sad
78MI7mu1LV1k4IA2HzKmHe,Sad
2xar08Fq5xra2KKZs5Bw9j,Happy
4smkJW6uzoHxGReZqqwHS5,Sad
2iXcvnD3d1gfLBum0cE5Eg,Sad
5P11rW6aJErF37MTfRZS31,Sad
507IFqPuG8mBQoKebfGG9t,Sad
6s6h2XK7Nl8lEcTzr7ezeB,Sad
1CTex49P0iWwzUGsMNjgaV,Sad
4tmy6FB76bR5eLmx0zO1mn,Happy
7vQbuQcyTflfCIOu3Uzzya,Sad
4Z4eU8yoBtBGIQPQrhCFr2,Sad
7DJsL4jyXA39GDiHFQYQ0t,Happy
6VTbbVjKOC2qWagIDbkJrC,Sad
4gphxUgq0JSFv2BCLhNDiE,Happy
64Ny7djQ6rNJspquof2KoX,Happy
4hHbeIIKO5Y5uLyIEbY9Gn,Sad
2gNjmvuQiEd2z9SqyYi8HH,Sad
5OkKOkdVTKFrYi6GWXkMzR,Sad
39lnzOIUCSNaQmgBHoz7rt,Sad
4FlYcJnfkeBpowEHJ72Bmt,Happy
50RwvvEKX5Q7AZt8FTAwIF,Happy
34zhjduFdQFhkRUJ230h9T,Sad
2OARIMw1hpehr86Iwmv04c,Sad
2HUZVffVPXvqnrml0gXggp,Sad
6FdA99MiSW1e18f2vEAx27,Sad
1XPj5quoeV5Gd0paSUDpvm,Sad
6xNwKNYZcvgV3XTIwsgNio,Sad
40fD7ct05FvQHLdQTgJelG,Happy
3MpGQae6zAFd7Z1FdLV9fV,Sad
7gHFBNy0Qn86xGKJ9OdFTw,Sad
5ueyLj6e6oVaTY0KQ6yLaA,Sad
3h4udS0WeWbsur3yfjvnm4,Happy
01u6AEzGbGbQyYVdxajxqk,Happy
2QfiRTz5Yc8DdShCxG1tB2,Happy
0AQquaENerGps8BQmbPw14,Sad
3KzgdYUlqV6TOG7JCmx2Wg,Sad
1YQWosTIljIvxAgHWTp7KP,Sad
0SsYlkXxZ5vkWOTsKxMfMz,Sad
2aEeghgUcnu75tzcolFMfs,Happy
0aWMVrwxPNYkKmFthzmpRi,Sad
2vSxjnyrWrtxyfzO47EX6q,Sad
66iKqUazBbTlAEjcZrpDkD,Sad
4f8hBeMXMvssn6HtFAtblo,Sad
0QGwOFQChzflLAmPq5NwKo,Sad
2ZNTPtYmAhN9vCwnAgqKn1,Sad
4vLYewWIvqHfKtJDk8c8tq,Sad
5yQ9iMZXGcr5rlO4hoLsP4,Sad
3E5ndyOfO6vFDEIE42HA8o,Sad
06PdA0DLgF4BfAeUNZAbFG,Sad
3YdKJzcoMZMacISlpY4QoP,Sad
3aPlQWU07jGgyHaBHVS5TS,Sad
7caj6X6NMX3tlhWnu1du6V,Sad
6C7aTTCUWRK7dD379yUT3W,Happy
2uFaJJtFpPDc5Pa95XzTvg,Sad
4ZfQwNx3FlCN07cnUvekh3,Sad
6oSm3mBWFxJHEnjE2IqhmA,Calm
4Hhv2vrOTy89HFRcjU3QOx,Sad
0zGLlXbHlrAyBN1x6sY0rb,Sad
2G0GextMwZJLkNxcSZ7ZJ3,Happy
4yjz1aazw6R8ZURpGbCAkp,Sad
3QnHWkNMY2mpy494Bis0ly,Sad
0BFEyqJ9DJXS7gKg0Kj46R,Sad
3oAWTk92mZBxKBOKf8mR5v,Happy
2IdwQxhJn9ZE4zIotcCefR,Sad
2x6pbpjVGjiWCcH89IK8AX,Happy
5Fih0qlqrBjPIE0dFamuBr,Happy
4WUcNkpoNSKoe5MUuyzrfC,Sad
47mA6f44zxLtdATOoY7GjN,Sad
6VqVieqjDEwS3mByMq4OzB,Happy
0DICNd5XQ1og9UeYzxoNFV,Sad
5lqY7EmoAu9rwV4hHxhEzB,Sad
44AyOl4qVkzS48vBsbNXaC,Sad
3zpj9dvJABiyMrmLCPw6i8,Sad
6jX5mso4x00c1EiNMrTU9U,Happy
5iGleL7HpEThuuYQ3us2jh,Sad
0PkBTqRtN25z3oKasWoKlj,Happy
6zFsz86nAj5gcvzyVqNL3k,Sad
1zW2csx1vVJrKfvDrFQNVt,Happy
0bwy3sGHeYwng2Ioicq6wf,Sad
0DxTEuqiERU7W4Cfy6IeLa,Calm
45Szkclj1lt4ubm7RFK68t,Happy
6TXnGAr6DLVYshIrMeP0lZ,Sad
2csA2nDUNR5TfQEn1I7nt4,Sad
3SdTKo2uVsxFblQjpScoHy,Sad
48i055G1OT5KxGGftwFxWy,Sad
5b7OgznPJJr1vHNYGyvxau,Sad
4fQMGlCawbTkH9yPPZ49kP,Sad
24AIahNHzBxm9S12peXbnG,Sad
7FS541dJh3iQAEXEZoDhE6,Happy
7sqK6f8dHVx3Q1GjFrVyGl,Sad
7jmHyHMEqm9MJWiMAneF05,Sad
1cpANF6zMBoFoxkoIjZHjv,Calm
6rqUOLt9dpfMANLMKTzoWj,Sad
1bYItjcPRtxZs6Ir71O5RB,Sad
00meczE1jpLTX0BBzIGrAR,Happy
6eLL7QTdMWdhhG4i3jHDR9,Sad
7AL1pxI9IwHoXs98G0T8cC,Sad
2Mr1bGI2E10K7Mt1UJZ6Mw,Sad
73uEbChpBB29ttwVnwuNVE,Sad
6KKcey1w86oP0qxN8frbfD,Sad
3uwIoa2emQILz6BmH6MtiW,Happy
5xzdDMhFYiuUONB0Mha9VS,Happy
0Yg1hSAUgd2AAneReFOVzS,Sad
0Jw3cPBXlGnA6DEJrZSTI0,Happy
1tYk5zABu6h8CMP1cSea56,Happy
0URp9jOJtiWKR1AfMGH2Qj,Happy
4QelFzhVgLomeQhvKrwM1S,Sad
5ZBeML7Lf3FMEVviTyvi8l,Happy
0wz1LjDb9ZNEYwOmDJ3Q4b,Happy
6YffUZJ2R06kyxyK6onezL,Happy
18GiV1BaXzPVYpp9rmOg0E,Sad
3KiexfmhxHvG5IgAElmTkd,Happy
3VbGCXWRiouAq8VyMYN2MI,Happy
4joiWvli4qJVEW6qZV2i2J,Happy
0E8q2Fx2XuzXCO2NSAppkR,Sad
2WOjLF83vqjit2Zh4B69V3,Sad
3VgrSJEKBRT3xmwzpaxxEF,Happy
7ngRS53kqxLcEt9Pythc5d,Sad
0ESIjVxnDnCDaTPo6sStHm,Sad
4C76SOnBa9eQDwOwe11hPz,Happy
7Aobt67JnaF7qN8jCCKvHq,Sad
5je0CDv1Z1hT82Nek1Fjhl,Sad
4ol2UyMTiklHVujAWg02nE,Calm
6EHuOufBeL6vk3TvVJB5qo,Happy
6e6Kxot9nHyZ4I8GgmGKII,Sad
4rmCI9VWrwrJTJ8XQ80BMN,Sad
7GHf8dQ2wA71wYOuRsQCZP,Sad
1HEGcv63IZ7TPncpVKdVdN,Sad
5hslUAKq9I9CG2bAulFkHN,Sad
5hbNSo9Ckl7ku8664sn0Jj,Sad
2baEFuU0gQon0hgVRioI1o,Sad
69sEXPrKQ5PtCxel5csSXs,Happy
7xx7mUGAPcMd6gGqHzoec9,Sad
5y788ya4NvwhBznoDIcXwK,Sad
29SyMC0plk6qw8NMF7lfRL,Happy
6FT83pFXKhDlXDsNJFAHWz,Happy
1aj4GXfmEYXfdVZohCpNKu,Happy
65jrjEhWfAvysKfnojk1i0,Sad
0KOE1hat4SIer491XKk4Pa,Sad
52vA3CYKZqZVdQnzRrdZt6,Sad
5uES1C2NgkdrNHiCwf9jRr,Sad
78JmElAFmrPNhLjovDR9Jm,Happy
252YuUdUaC5OojaBU0H1CP,Happy
7dblNGnRXEBrVJunazs2U5,Sad
5UvE5QlINnvEc7aFO14DVL,Happy
65vdMBskhx3akkG9vQlSH1,Sad
5J2CHimS7dWYMImCHkEFaJ,Happy
3v9xlH6BpmRbqL7hgNJhfT,Happy
1GLmaPfulP0BrfijohQpN5,Happy
69RH84na5iUNwrwxpgjC5j,Sad
3X9tJw6z5LowFx339fhTvu,Sad
1Dg4dFJr3HW7sbA7vPejre,Happy
0elmUoU7eMPwZX1Mw1MnQo,Sad
3SdingSsFcZDZAyvcJbgAw,Happy
4591VqUIXysNlmI5NcAIUd,Happy
5I9sHwLDX28tLtzVgKLtpr,Sad
3496rr5XSGD6n1Z1OKXovb,Happy
0sDeU2murnLh4yVHQ5IV70,Happy
0Hja9zlVQHC768PsPjWscW,Sad
3qt3ybU6MScMxMKL2TYBvt,Happy
5ozZHuU1nWqq2UaFM9xa5A,Sad
11fNLqDB47gMKj7BHhR2Qr,Happy
1iZgzgmsFsi0deffe0rleB,Sad
1hgvykolO4kBIEozATmpyj,Sad
3xsOtNxtBW0oTI1OWKAzTm,Sad
2EjXfH91m7f8HiJN1yQg97,Happy
0sCeNwt8xRCMR4NhKpMyBe,Sad
4skknrc3sJqaPTtUr2cwFq,Sad
1WN4uNclrDuczTO3bCr8s1,Happy
31A3oqQxDLdG9HRx45z62d,Happy
4tAwP9QKeLEQJ2fgd1RWcY,Sad
6oRHRkQigTzJ3KwpO3XOV6,Sad
307kcWJQNMdiYYKj1LgClU,Sad
